TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match Score
4502,ENZOFEN 1000 MG VAJINAL YUMUşAK KAPSüL,8680199908794,G01AF12,Aktif,83.13
4503,ENZOFEN 600 MG OVüL,8680199906271,G01AF12,Aktif,82.19
4504,ENZOFEN 600 MG VAJİNAL YUMUŞAK KAPSÜL,8680199908794,G01AF12,Aktif,74.36
4519,EPIDOSIN 10 MG DRAJE,8699559120035,A03AX14,Pasif,72.99
4520,EPIDOSIN 8 MG AMPUL,8699559750027,A03AX14,Pasif,71.61
4525,EPILEPTAL 100 MG/ML ORAL ÇÖZELTI,8699889650028,N03AX14,Pasif,78.69
4526,EPILEPTAL 1000 MG FILM TABLET,8699889090213,N03AX14,Pasif,78.17
4527,EPILEPTAL 250 MG FILM TABLET,8699889090183,N03AX14,Pasif,78.23
4528,EPILEPTAL 500 MG FILM TABLET,8699889090190,N03AX14,Pasif,77.98
4529,EPILEPTAL 750 MG FILM TABLET,8699889090206,N03AX14,Pasif,79.14
4530,EPILEPTAL XR 500 MG FILM TABLET,8699889036059,N03AX14,Pasif,79.84
4531,EPILEPTAL XR 750 MG FILM TABLET,8699889030073,N03AX14,Pasif,78.9
4532,EPILEPTAL XR 750 MG FILM TABLET,8699889030073,N03AX14,Pasif,78.9
4537,EPIRITU 20 MG/10 ML  IV/İNTRAVEZIKAL  İNFüZYONLUK  ÇöZELTI  HAZıRLAMAK  IçIN  KONSANTRE,8699650772171,L01DB03,Pasif,77.55
4538,EPIRITU 200 MG /100 ML IV/İNTRAVEZİKAL İNFÜZYON İÇİN KONSANTRE ÇÖZELTİ İÇEREN FLAKON,8699650772171,L01DB03,Pasif,70.42
4540,Epirubicin Koçak 100 mg/50 mL I.V./Intravesikal İnfüzyon Hazırlamak İçin Konsantre Çözelti İçeren Flakon,8699828760153,L01DB03,Aktif,82.07
4541,EPİTAM  XR  750 MG FILM KAPLı TABLET,8699543030159,N03AX14,Aktif,79.73
4542,EPİTAM 1000 MG FİLM TABLET,8699543091044,N03AX14,Pasif,70.01
4545,EPITAM XR 500 MG FİLM KAPLI TABLET,8699543030135,N03AX14,Aktif,84.03
4547,EPIVIR 10 MG/ML ORAL çöZELTI,8699522092666,J05AF05,Aktif,79.52
4548,EPIVIR 150 MG FILM TABLET,8699522092666,J05AF05,Aktif,95.69
4550,EPIXX 1000 MG FILM KAPLı TABLET,8699514096559,N03AX14,Aktif,83.75
4551,EPIXX 250 MG FILM KAPLı TABLET,8699514096528,N03AX14,Aktif,83.75
4552,EPIXX 500 MG FILM KAPLı TABLET,8699514096535,N03AX14,Aktif,83.59
4553,EPİXX 750 MG FILM TABLET,8699514096542,N03AX14,Aktif,74.56
4554,EPIXX XR 500 MG FILM KAPLI TABLET,8699514030065,N03AX14,Aktif,80.14
4555,EPIXX XR 750 MG FILM KAPLI TABLET,8699514030089,N03AX14,Aktif,80.97
4556,EPİZONYA 100 MG KAPSÜL,8699510150729,N03AX15,Aktif,86.28
4557,EPIZONYA 25 MG KAPSÜL,8699510150729,N03AX15,Aktif,91.78
4558,EPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,89.53
4559,EPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,88.42
4560,EPLEDAY 50MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,88.15
4564,EPOBEL  3000  IU/0.9  ML  IV/SC  STERİL  ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,8699262950257,B03XA01,Aktif,71.69
4577,EPOSTİN % 0.05 OFTALMİK EMÜLSİYON İÇEREN TEK DOZLUK FLAKON,8699844611484,S01XA18,Aktif,77.99
4578,EPPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,79.82
4579,EPPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,79.82
4580,EPPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,79.82
4581,EPPLEDAY 25MG FILM KAPLI TABLET,8680881093883,C03DA04,Aktif,79.82
4602,EQIZOLIN 500 MG IM/IV ENJEKSİYONLUK TOZ,8699814270246,J01DB04,Aktif,74.05
4611,ERAFİL 20 MG FILM KAPLı TABLET,8681880090149,G04BE08,Aktif,81.8
